text,author
"One only condition I would make, that you do nothing without his concurrence.""",MWS
I passed three days in these rambles and at length discovered the open country.,MWS
"In , as a Captain in Rhode Island forces in New Jersey under Colonel Angell, he met and married Phebe Hetfield of Elizabethtown, whom he brought to Providence upon his honourable discharge in the following year.",HPL
This I learned at once from newspaper accounts of the catastrophe which first brought the region to the world's notice.,HPL
Even now I cannot recollect without passion my reveries while the work was incomplete.,MWS
"heh, heh, heh Matt Eliot was a Mason an' agin' the sellin', but he dropped aout o' sight jest then.",HPL
"Shall two years more be thus passed, each day adding to our alienation, each act being another stone piled on the barrier which separates us?",MWS
"A gigantic monster, they said, had arrived the night before, armed with a gun and many pistols, putting to flight the inhabitants of a solitary cottage through fear of his terrific appearance.",MWS
"In a solitary chamber, or rather cell, at the top of the house, and separated from all the other apartments by a gallery and staircase, I kept my workshop of filthy creation; my eyeballs were starting from their sockets in attending to the details of my employment.",MWS
"""I remember the twilight, the moon, and soft songs, and the window where I was rocked to sleep.",HPL
"They know it's a goin' aout, an' dun't calc'late to miss it.",HPL
"I communed in this manner with myself, but I was silent to all around me.",MWS
"The soldiers were the fifth cohort of the XIIth legion, under the military tribune Sex.",HPL
"I was the only one who came back that night to the old fishing town as legend bade, for only the poor and the lonely remember.",HPL
"We met no one on the road, but presently began to pass deserted farms in varying stages of ruin.",HPL
Only poetry or madness could do justice to the noises heard by Legrasse's men as they ploughed on through the black morass toward the red glare and the muffled tom toms.,HPL
"I knew my silence disquieted them, and I well remembered the words of my father: ""I know that while you are pleased with yourself you will think of us with affection, and we shall hear regularly from you.",MWS
"As he went, he bought a basket of costly fruits, such as were natives of her own country, and throwing over these various beautiful flowers, bore it himself to the miserable garret of his friend.",MWS
"I left the room, and locking the door, made a solemn vow in my own heart never to resume my labours; and then, with trembling steps, I sought my own apartment.",MWS
"Extremists sometimes said the house was ""unlucky"", but that is as far as even they went.",HPL
"It was a long dog trot to the ruined station, and the great brick warehouse walls around me seemed somehow more terrifying than the fronts of private houses.",HPL
"Reared by a Mexican cattle thief who had given him his name, Juan differed little from his fellows.",HPL
"Study had before secluded me from the intercourse of my fellow creatures, and rendered me unsocial; but Clerval called forth the better feelings of my heart; he again taught me to love the aspect of nature, and the cheerful faces of children.",MWS
"I desire the company of a man who could sympathize with me, whose eyes would reply to mine.",MWS
"I lingered awhile, desirous of taking leave of Perdita, and from my window observed the approach of the sun.",MWS
"And although I could not consent to go and hear that little conceited fellow deliver sentences out of a pulpit, I recollected what he had said of M. Waldman, whom I had never seen, as he had hitherto been out of town.",MWS
Among the agonies of these after days is that chief of torments inarticulateness.,HPL
"These then were the preparations for a battle, nay, the battle itself; far different from any thing the imagination had pictured.",MWS
"The busy stage of life, the virtues of heroes, and the actions of men were his theme; and his hope and his dream was to become one among those whose names are recorded in story as the gallant and adventurous benefactors of our species.",MWS
"So The Street drank in the dreams of a young people, and rejoiced as its dwellers became more graceful and happy.",HPL
"Tell me, Lionel, do you consent that I should marry this young lady?""",MWS
"I had been scrambling in this way for some time, so that my battery had burned very low, when the passage suddenly inclined sharply upward, altering my mode of progress.",HPL
"The words and beliefs expressed ten weeks before seemed bodied forth in the darkness beyond the small circle of candle light, and I sickened at the hollow, altered voice of my host.",HPL
"""Up thar in the rud beyont the glen, Mis' Corey they's suthin' ben thar It smells like thunder, an' all the bushes an' little trees is pushed back from the rud like they'd a haouse ben moved along of it.",HPL
"Haow'd ye like to be livin' in a taown like this, with everything a rottin' an' a dyin', an' boarded up monsters crawlin' an' bleatin' an' barkin' an' hoppin' araoun' black cellars an' attics every way ye turn?",HPL
"It was surely that I might fulfil my destiny, which is now drawing to a close.",MWS
The debate had ended at three in the morning.,MWS
"We had many pitched battles, during which no word was spoken, hardly a look was interchanged, but in which each resolved not to submit to the other.",MWS
"They and their subconscious residuum had influenced his art profoundly, and he shewed me a morbid statue whose contours almost made me shake with the potency of its black suggestion.",HPL
"As it was, we hoped desperately that the storm would last until well after dark; and with that hope turned from our aimless hillside searching toward the nearest inhabited hamlet to gather a body of squatters as helpers in the investigation.",HPL
Diana was fully worthy of his deepest affection.,MWS
Oh fie Cast off this blank look of human melancholy.,MWS
Evening approached and I beheld the sun set.,MWS
"I thought with a sensation of madness on my promise of creating another like to him, and trembling with passion, tore to pieces the thing on which I was engaged.",MWS
"Death snatches away many blooming children, the only hopes of their doting parents; how many brides and youthful lovers have been one day in the bloom of health and hope, and the next a prey for worms and the decay of the tomb Of what materials was I made that I could thus resist so many shocks, which, like the turning of the wheel, continually renewed the torture?",MWS
Great God would it one day be thus?,MWS
"Iä R'lyeh Cthulhu fhtagn Iä Iä No, I shall not shoot myself I cannot be made to shoot myself I shall plan my cousin's escape from that Canton madhouse, and together we shall go to marvel shadowed Innsmouth.",HPL
"If humanly possible, I would use it; if not, I would have to risk more street wandering and take the nearest intact highway bridge.",HPL
"There is something fearful in one who can thus conquer the animal part of our nature, if the victory be not the effect of consummate virtue; nor was it without a mixture of this feeling, that I beheld the figure of the Countess awake when others slept, fasting when I, abstemious naturally, and rendered so by the fever that preyed on me, was forced to recruit myself with food.",MWS
"Hours passed, while in this scene of ruin I sought for Raymond.",MWS
"He would shout that the world was in danger, since the Elder Things wished to strip it and drag it away from the solar system and cosmos of matter into some other plane or phase of entity from which it had once fallen, vigintillions of aeons ago.",HPL
There's been a certain change in your personal appearance.,HPL
"Perdita presented her to Raymond; her first words were: ""Beloved, embrace our child"" ""Come hither, sweet one,"" said her father, ""do you not know me?"" she knew his voice, and cast herself in his arms with half bashful but uncontrollable emotion.",MWS
"I consented to her request, and taking her little hand, followed Raymond.",MWS
"I knew all this and did not go to seek sympathy; but there on my solitary heath, under my lowly roof where all around was desart, it came to me as a sun beam in winter to adorn while it helps to dissolve the drifted snow.",MWS
"I had somehow taken it for granted that the house was abandoned, yet as I approached it I was not so sure; for though the walks were indeed overgrown with weeds, they seemed to retain their nature a little too well to argue complete desertion.",HPL
"Habit would not dull his sense of the enjoyment of power; nor struggles, disappointment and defeat await the end of that which would expire at its maturity.",MWS
"I had arrived from a weary wandering of sixteen years, during which, although I had gone through many dangers and misfortunes, my affections had been an entire blank.",MWS
"I seemed to know what to do with it, for I drew a pocket electric light or what looked like one out of my pocket and nervously tested its flashes.",HPL
"He suspected, that unaccustomed poverty was the cause of the mystery, and that the artist was unwilling to be seen in the garb and abode of want.",MWS
"The farmers and cottagers, on the contrary, struck with the fear of solitude, and madly desirous of medical assistance, flocked into the towns.",MWS
"That child, a boy, came in December; but was still born.",HPL
"I can enchain the plague in limits, and set a term to the misery it would occasion; courage, forbearance, and watchfulness, are the forces I bring towards this great work.",MWS
"Still all his wishes and endeavours were directed towards her peace, and his chief discomfort arose from the perception that he exerted himself in vain.",MWS
"Peace, peace Learn my miseries and do not seek to increase your own.""",MWS
"She could not divine, that the breach which she had occasioned between Raymond and Perdita was already irreparable: but she knew, that under the present system it would be widened each day, and that its result must be to destroy her lover's happiness, and to implant the fangs of remorse in his heart.",MWS
From the revolver I knew that he was thinking more of the crazed Italian than of the police.,HPL
Now I am twenty eight and am in reality more illiterate than many schoolboys of fifteen.,MWS
I also became a poet and for one year lived in a paradise of my own creation; I imagined that I also might obtain a niche in the temple where the names of Homer and Shakespeare are consecrated.,MWS
"It was horrible, yet hardly a surprise.",HPL
"Suddenly a great chasm opened before him, ten feet deep, so that he had to let himself down by his hands and drop to a slanting floor, and then crawl perilously up a natural defile in the opposite wall.",HPL
"Down the hill amid scented grasses and brilliant flowers walked Kuranes, over the bubbling Naraxa on the small wooden bridge where he had carved his name so many years ago, and through the whispering grove to the great stone bridge by the city gate.",HPL
Alas I must for ever conceal the wretchedness that consumes me.,MWS
"One could develop all sorts of aural delusions in this morbid old house for did not Gilman himself, even in daylight, now feel certain that noises other than rat scratchings came from the black voids beyond the slanting wall and above the slanting ceiling?",HPL
"Yet still there came that monotonous piping from afar; wild, weird airs that made me think of some dance of fauns on distant Maenalus.",HPL
"There were periods, dreadful ones, during which I despaired doubted the existence of all duty the reality of crime but I shudder, and turn from the rememberance.",MWS
"Adrian was obliged to exert his utmost prudence, first to allay the discord, and then to provide for the multitude of the invaders.",MWS
"When the thing breathed, its tail and tentacles rhythmically changed colour, as if from some circulatory cause normal to the non human side of its ancestry.",HPL
"I returned to Windsor at the wish of Idris, who seemed to think that there was greater safety for her children at that spot; and because, once having taken on me the guardianship of the district, I would not desert it while an inhabitant survived.",MWS
"Then he began to ascend the stairs, and joined me in the attic.",HPL
"Then he collapsed, an inert mass of mangled flesh.",HPL
"Nowhere, however, could he find ease and content; and as he grew older the staleness and limitations of life became more and more maddening to him.",HPL
We accordingly rested on a seat until they should return.,MWS
"If I grieved it was for your mother, if I loved it was your image; these sole emotions filled my heart in quietness.",MWS
"Once, however, the lieutenant asked why he had come so far upon the ice in so strange a vehicle.",MWS
"The form of the monster on whom I had bestowed existence was forever before my eyes, and I raved incessantly concerning him.",MWS
I have harnessed the shadows that stride from world to world to sow death and madness. . . .,HPL
"First, his having entered into any engagement that should permit her to remain in such a state of degradation; and then, after a short wild dream, having left her to drear solitude, anxious conjecture, and bitter, still disappointed expectation.",MWS
"If heaven is merciful, it will some day efface from my consciousness the sight that I saw, and let me live my last years in peace.",HPL
"What would be your surprise, my son, when you expected a happy and glad welcome, to behold, on the contrary, tears and wretchedness?",MWS
"At length, in an abrupt manner she asked, ""Where is he?"" ""O, fear not,"" she continued, ""fear not that I should entertain hope Yet tell me, have you found him?",MWS
"I had insisted on accompanying him across the heath towards the town where he dwelt: the sun was yet high when he left me, and I turned my steps towards my cottage.",MWS
"But the flabby hands, curiously gloved, wrote genially on the tablet and told me I must wait a while before I could be led to the place of festival.",HPL
"I took refuge in the courtyard belonging to the house which I inhabited, where I remained during the rest of the night, walking up and down in the greatest agitation, listening attentively, catching and fearing each sound as if it were to announce the approach of the demoniacal corpse to which I had so miserably given life.",MWS
"On the evening previous to her being brought to my home, my mother had said playfully, ""I have a pretty present for my Victor tomorrow he shall have it.""",MWS
"It was Maurice who, in the poet's st year, secured the adoption of his work as a textbook in the schools of the empire, an honour which proved a fatal tax on the aged rhetorician's emotions, since he passed away peacefully at his home near the church of St. Sophia on the sixth day before the Kalends of September, A.D. , in the nd year of his age.",HPL
"Strange urges still tugged at him, but he could sidetrack them with considerable success.",HPL
"I passed the bridge of Pelissier, where the ravine, which the river forms, opened before me, and I began to ascend the mountain that overhangs it.",MWS
"At first I beheld nothing but a seething blur of luminosity; but then shapes, all infinitely distant, began to detach themselves from the confusion, and I saw was it Juan Romero?",HPL
"And morning and evening my tearful eyes raised to heaven, my hands clasped tight in the energy of prayer, I have repeated with the poet Before I see another day Oh, let this body die away Let me not be reproached then with inutility; I believed that by suicide I should violate a divine law of nature, and I thought that I sufficiently fulfilled my part in submitting to the hard task of enduring the crawling hours minutes in bearing the load of time that weighed miserably upon me and that in abstaining from what I in my calm moments considered a crime, I deserved the reward of virtue.",MWS
"In answer to this question, I described our gloomy winter life, our sordid cares, our menial labours: ""This northern country,"" I said, ""is no place for our diminished race.",MWS
"I am an unfortunate and deserted creature, I look around and I have no relation or friend upon earth.",MWS
"Her features had lost the distortion of grief; her eyes were brightened, her very person seemed dilated; while the excessive whiteness and even transparency of her skin, and something hollow in her voice, bore witness that not tranquillity, but excess of excitement, occasioned the treacherous calm that settled on her countenance.",MWS
"Perceptions of the most maddeningly untransmissible sort thronged upon us; perceptions of infinity which at the time convulsed us with joy, yet which are now partly lost to my memory and partly incapable of presentation to others.",HPL
"They were, he said, of very grotesque and almost repulsive design, and had never to his knowledge been publicly worn; though my grandmother used to enjoy looking at them.",HPL
"His accursed city is sunken once more, for the Vigilant sailed over the spot after the April storm; but his ministers on earth still bellow and prance and slay around idol capped monoliths in lonely places.",HPL
"""Farewell for ever"" The moment I finished this letter I ordered the carriage and prepared to follow my father.",MWS
"""The Turk allowed this intimacy to take place and encouraged the hopes of the youthful lovers, while in his heart he had formed far other plans.",MWS
"The distance was greater than we wished, but we could get no nearer house without going on the other side of the field, wholly out of the factory district.",HPL
"He drew a revolver and motioned me to silence, then stepped out into the main cellar and closed the door behind him.",HPL
"We accordingly lay to, hoping that some change would take place in the atmosphere and weather.",MWS
"And when he had failed to find these boons in things whose laws are known and measurable, they told him he lacked imagination, and was immature because he preferred dream illusions to the illusions of our physical creation.",HPL
"The former Protector tendered him the oaths, and presented him with the insignia of office, performing the ceremonies of installation.",MWS
"I shuddered when I thought of the possible consequences of my consent, but I felt that there was some justice in his argument.",MWS
"The men shuffled about a moment, and then Earl Sawyer spoke softly, pointing with a grimy finger through the steadily lessening rain.",HPL
"This, I knew, must be Devil Reef.",HPL
"An aperture in the midst let in the light of heaven; but this was overgrown with brambles and underwood, which acted as a veil, obscuring the day, and giving a solemn religious hue to the apartment.",MWS
"The first horrible incident of our acquaintance was the greatest shock I ever experienced, and it is only with reluctance that I repeat it.",HPL
"Detectives have questioned me, but what can I say?",HPL
As this terrible conviction came upon him me? it melted my soul to tenderness and love I gazed on him as to take my last farewell he lay insensible his eyes closed as and? his cheeks deathly pale.,MWS
"That cryptical pull from the north was getting very strong again, though it seemed now to come from a lower place in the sky.",HPL
"When these things palled, disappointed, or grew nauseous through revulsion, they cultivated irony and bitterness, and found fault with the social order.",HPL
"A great part of these grounds had been given to cultivation, and strips of potatoe land and corn were scattered here and there.",MWS
"On a slab in an alcove he found an old but empty coffin whose tarnished plate bears the single word ""Jervas"".",HPL
Servants found me unconscious in the morning.,HPL
"William, Justine, and Henry they all died by my hands.""",MWS
"Among other painful restrictions, she has occasioned it to become a law among us, never to mention Raymond's name before her.",MWS
You might have surmised I had some inside information when I dropped him and that's why I don't want to think where he's gone.,HPL
Thus the poor sufferer tried to comfort others and herself.,MWS
"No guilt, no mischief, no malignity, no misery, can be found comparable to mine.",MWS
"I now formed the habit of listening very intently at the slightly open portal, choosing my favourite hours of midnight stillness for the odd vigil.",HPL
"As is common in communities, a fashion was set.",MWS
"If we survive this coming summer, I will not spend the ensuing winter in England; neither I nor any of us.""",MWS
"Above the distant chanting and the nearer praying of Joe Mazurewicz came another sound a stealthy, determined scratching in the partitions.",HPL
"If he had not been, one cannot say what he would have done when the object came.",HPL
"He had meant to tear it down and build an apartment house on the site, but after my account decided to let it stand, install plumbing, and rent it.",HPL
"But Barzai was old and learned and had no fears, so led the way boldly up the slope that no man had scaled since the time of Sansu, who is written of with fright in the mouldy Pnakotic Manuscripts.",HPL
"I knocked repeatedly at the door, but received no response.",HPL
You'll notice a little in Sargent if you take his bus.,HPL
His reckless courage and comprehensive genius brought him into notice.,MWS
"I felt that they were near, that they were safe, yet methought this was all deceit; the earth reeled, the firm enrooted trees moved dizziness came over me I sank to the ground.",MWS
"Thereafter I heard Zann every night, and although he kept me awake, I was haunted by the weirdness of his music.",HPL
"Then the mark of misery would have faded from my brow, and I should raise my eyes fearlessly to meet his, which ever beamed with the soft lustre of innocent love.",MWS
"I wrote, and this exertion greatly fatigued me; but my convalescence had commenced, and proceeded regularly.",MWS
I have hired a vessel and am occupied in collecting my sailors; those whom I have already engaged appear to be men on whom I can depend and are certainly possessed of dauntless courage.,MWS
"On the carpet they were very indistinct, but a piece of open flooring intervened between the carpet's edge and the base board.",HPL
"If I saw him at a distance, riding a beautiful horse, my blood boiled with rage; the air seemed poisoned by his presence, and my very native English was changed to a vile jargon, since every phrase I heard was coupled with his name and honour.",MWS
If it came before Arkham I would stop off there and so I asked the agent to tell me something about it.,HPL
"As the doctor put him to bed he could only mutter over and over again, ""But what, in God's name, can we do?""",HPL
"But why should I repine at this? Misery was my element, and nothing but what was miserable could approach me; if Woodville had been happy I should never have known him.",MWS
"It was a secret room, far, far underground; where huge winged daemons carven of basalt and onyx vomited from wide grinning mouths weird green and orange light, and hidden pneumatic pipes ruffled into kaleidoscopic dances of death the lines of red charnel things hand in hand woven in voluminous black hangings.",HPL
"Perdita at length subdued her burst of passion, and rose, she looked round for Clara; the child frightened, not recognizing her father, and neglected by us, had crept to the other end of the boat; she came at her mother's call.",MWS
"One summer night, after a thunderstorm of unprecedented violence, the countryside was aroused by a squatter stampede which no mere delusion could create.",HPL
"Should I return to the Castle, to my wife and children, with this taint upon me?",MWS
"I was so entirely wrapt in this reverie that I wandered on, taking no heed of my steps until I actually stooped down to gather a flower for my wreath on that bleak plain where no flower grew, when I awoke from my day dream and found myself I knew not where.",MWS
"""But is that house with the attic window still standing and deserted?""",HPL
"But when he came to study those who had thrown off the old myths, he found them even more ugly than those who had not.",HPL
"This part of the Rhine, indeed, presents a singularly variegated landscape.",MWS
At length I approached that time which I had so long viewed with apprehension.,HPL
"Then came a deadly circuit of the tower, clinging to whatever holds the slimy wall could give; till finally my testing hand found the barrier yielding, and I turned upward again, pushing the slab or door with my head as I used both hands in my fearful ascent.",HPL
"I must own I felt a little proud when my captain offered me the second dignity in the vessel and entreated me to remain with the greatest earnestness, so valuable did he consider my services.",MWS
Until this moment my soul had been in my eyes only.,MWS
"He felt that he was needlessly and irrationally retarded in a supremely great work; a work which he could of course conduct to suit himself in later years, but which he wished to begin while still possessed of the exceptional facilities of the university.",HPL
"At first, relieved from famine and the grave, watched over by Raymond with the tenderest assiduity, with that feeling of repose peculiar to convalescence, Evadne gave herself up to rapturous gratitude and love.",MWS
"""You swear,"" I said, ""to be harmless; but have you not already shown a degree of malice that should reasonably make me distrust you?",MWS
Not long after this Pickman produced a flashlight and revealed an antediluvian ten panelled door that looked damnably worm eaten.,HPL
"At evening Iranon sang, and while he sang an old man prayed and a blind man said he saw a nimbus over the singer's head.",HPL
"There was an eager delight in our tones and gestures that could only spring from deep mutual love joined to the most unrestrained confidence; and now the next day, the next hour, I saw his brows contracted, his eyes fixed in sullen fierceness on the ground, and his voice so gentle and so dear made me shiver when he addressed me.",MWS
"There was, however, something he wanted in embattled Flanders; and in order to secure it he had to assume a military exterior.",HPL
"To establish the artificial motion, natural life must be extinct the specimens must be very fresh, but genuinely dead.",HPL
"At a distance from facts one draws conclusions which appear infallible, which yet when put to the test of reality, vanish like unreal dreams.",MWS
"""I guess he's sayin' the spell,"" whispered Wheeler as he snatched back the telescope.",HPL
"It must have been some imp of the perverse or some sardonic pull from dark, hidden sources which made me change my plans as I did.",HPL
"So, after thoroughly studying the manuscript again and correlating the theosophical and anthropological notes with the cult narrative of Legrasse, I made a trip to Providence to see the sculptor and give him the rebuke I thought proper for so boldly imposing upon a learned and aged man.",HPL
"Hope, and your wounds will be already half healed: but if you obstinately despair, there never more will be comfort for you.",MWS
Our circle will be small but bound close by the ties of affection and mutual misfortune.,MWS
"Subterrene arcana, hidden for years, came at last to the light.",HPL
"Wild blows were struck, shots were fired, and escapes were made; but in the end Legrasse was able to count some forty seven sullen prisoners, whom he forced to dress in haste and fall into line between two rows of policemen.",HPL
"I sought the little bed of my darling; he was oppressed by fever; but I trusted, I fondly and fearfully trusted, that there were no symptoms of the plague.",MWS
"I will be brief for there is in all this a horror that will not bear many words, and I sink almost a second time to death while I recall these sad scenes to my memory.",MWS
"Into the lands of civilisation came Nyarlathotep, swarthy, slender, and sinister, always buying strange instruments of glass and metal and combining them into instruments yet stranger.",HPL
"All, without exception, appeared to deal with black magic in its most advanced and horrible forms; and the evidently recent date of certain items is still a mystery as unsolved as that of the modern human bones.",HPL
"Since I last saw you I have been constantly employed in writing letters, and have several more to write; for I do not intend that any one shall hear of me after I depart.",MWS
"Our own distresses, though they were occasioned by the fictitious reciprocity of commerce, encreased in due proportion.",MWS
"A strange idea seized me; a person must have felt all the agonies of doubt concerning the life and death of one who is the whole world to them before they can enter into my feelings for in that state, the mind working unrestrained by the will makes strange and fanciful combinations with outward circumstances and weaves the chances and changes of nature into an immediate connexion with the event they dread.",MWS
"So this was the way the folk of the uncanny house journeyed betwixt earth and sky When he climbed out of the chasm a morning mist was gathering, but he clearly saw the lofty and unhallowed cottage ahead; walls as grey as the rock, and high peak standing bold against the milky white of the seaward vapours.",HPL
"Idris smiled her thanks, and rose to take leave.",MWS
"""Verney,"" said he, ""my first act when I become King of England, will be to unite with the Greeks, take Constantinople, and subdue all Asia.",MWS
"Such a man has a double existence: he may suffer misery and be overwhelmed by disappointments, yet when he has retired into himself, he will be like a celestial spirit that has a halo around him, within whose circle no grief or folly ventures.",MWS
"We encountered no living creature, for the men of the night shift had been released from duty, and were doubtless at the Dry Gulch settlement pouring sinister rumours into the ear of some drowsy bartender.",HPL
"But here, too, was there no satisfaction or fulfilment; for the touch of earth was upon his mind, and he could not think of lovely things as he had done of yore.",HPL
It was that of a man clad in a skull cap and long mediaeval tunic of dark colour.,HPL
"I was slow, too, in realising that the school of unusual dolphins had vanished.",HPL
"I am convinced that, at the worst, he would have returned from the seashore to take leave of us, and to make us the partners of his council.",MWS
"Again I shivered, for I did not like the things that the night had brought, and wished bitterly that no forefather had summoned me to this primal rite.",HPL
"The utter inutility that had attended all my exertions took from them their usual effects of exhilaration, and despair rendered abortive the balm of self applause I longed to return to my old occupations, but of what use were they?",MWS
"What was really beyond dispute is that a frightful proportion of persons died there; or more accurately, had died there, since after some peculiar happenings over sixty years ago the building had become deserted through the sheer impossibility of renting it.",HPL
"I met a company of soldiers outside the walls; I borrowed a horse from one of them, and hastened to my sister.",MWS
"For a second I thought this typical physique suggested some picture I had seen, perhaps in a book, under circumstances of particular horror or melancholy; but this pseudo recollection passed very quickly.",HPL
All this research work required a prodigious supply of freshly slaughtered human flesh and that was why Herbert West had entered the Great War.,HPL
"He seemed born anew, and virtue, more potent than Medean alchemy, endued him with health and strength.",MWS
So I told them no more.,HPL
"I will not lead you on, unguarded and ardent as I then was, to your destruction and infallible misery.",MWS
IN the mean time what did Perdita?,MWS
"Years passed thus, even years.",MWS
"Ye toil to live, but is not life made of beauty and song?",HPL
"Soon, oh, very soon, will death extinguish these throbbings and relieve me from the mighty weight of anguish that bears me to the dust; and, in executing the award of justice, I shall also sink to rest.",MWS
"We were born to be friends to each other; and though ill fortune has divided us, will you not acknowledge the hereditary bond of friendship which I trust will hereafter unite us?""",MWS
Yet all this was only the prologue of the actual Dunwich horror.,HPL
"On April he was captured by the colonists and soon after executed, but the austere head of Ibid continued on its wanderings.",HPL
"To leave England for ever to turn from its polluted fields and groves, and, placing the sea between us, to quit it, as a sailor quits the rock on which he has been wrecked, when the saving ship rides by.",MWS
I do not die not having enjoyed life; for sixteen years I was happy: during the first months of my father's return I had enjoyed ages of pleasure: now indeed I am grown old in grief; my steps are feeble like those of age; I have become peevish and unfit for life; so having passed little more than twenty years upon the earth I am more fit for my narrow grave than many are when they reach the natural term of their lives.,MWS
"The soul of tender sorrow is breathed forth in this strain; and the sweet voice of Idris, sustained by the mournful chords of her instrument, added to the expression of the words.",MWS
On that night he had determined to consummate his crimes by my death.,MWS
"Whether he had imagination enough to wish they were empty, is strongly to be doubted.",HPL
"Raymond, stopping mid way in his wild career, paused suddenly to think of consequences.",MWS
What I learned and saw in those hours of impious exploration can never be told for want of symbols or suggestions in any language.,HPL
"Then all at once the horrible eyes, blacker even than the seared face in which they were set, opened wide with an expression which I was unable to interpret.",HPL
"Families, bred in opulence and luxury, were reduced to beggary.",MWS
"She grew weaker each day, and each day she had further to go.",MWS
"For the squat creatures were mighty in the arts of war, and knew not the scruples of honour which held back our tall, grey eyed men of Lomar from ruthless conquest.",HPL
"His proximity was becoming rather obnoxious, yet I saw no way to escape without offending him.",HPL
"Wilbur was by this time a scholar of really tremendous erudition in his one sided way, and was quietly known by correspondence to many librarians in distant places where rare and forbidden books of old days are kept.",HPL
"I turned it on full in his face, and saw the sallow features glow first with violet and then with pinkish light.",HPL
"Over the door, however, the high, slit like transom in the brick facade gave promise of possible enlargement to a diligent worker; hence upon this his eyes long rested as he racked his brains for means to reach it.",HPL
This need for very fresh corpses had been West's moral undoing.,HPL
He came to a part of the country where he was entirely unknown and where in the deepest solitude he could converse only with his own heart.,MWS
"Less worthy of notice was the fact that the mother was one of the decadent Whateleys, a somewhat deformed, unattractive albino woman of thirty five, living with an aged and half insane father about whom the most frightful tales of wizardry had been whispered in his youth.",HPL
"If, therefore, I could seize him and educate him as my companion and friend, I should not be so desolate in this peopled earth.",MWS
"We are told by the wisest philosophers of the dangers of the world, the deceits of men, and the treason of our own hearts: but not the less fearlessly does each put off his frail bark from the port, spread the sail, and strain his oar, to attain the multitudinous streams of the sea of life.",MWS
"So The Street dreamed on, past wars, calamities, and changes.",HPL
"Probably it was the shrill piping that awaked me, yet that piping was not what I noticed first when I opened my eyes.",HPL
"One of them, a heavy tome with an iron clasp, was in another unknown alphabet this one of a very different cast, and resembling Sanscrit more than anything else.",HPL
My thoughts and every feeling of my soul have been drunk up by the interest for my guest which this tale and his own elevated and gentle manners have created.,MWS
"I began to feel that the tomb was mine, and to look forward with hot eagerness to the time when I might pass within that stone door and down those slimy stone steps in the dark.",HPL
"He had schemed, if he failed in his present attempt, without taking leave of any of us, to embark for Greece, and never again to revisit England.",MWS
"Yet some quality about it disturbed me almost as much as its features pleased me perhaps it was too white, or too expressionless, or too much out of keeping with the locality, to make me feel easy or comfortable.",HPL
"""Right naow Barnabas is abaout changed.",HPL
"They were removing the stones quietly, one by one, from the centuried wall.",HPL
"What the hound was, and why it pursued me, were questions still vague; but I had first heard the baying in that ancient churchyard, and every subsequent event including St. John's dying whisper had served to connect the curse with the stealing of the amulet.",HPL
"Some power from heaven, coming to my aid, obliterated both sights and sounds in such a crash as may be heard when two universes collide in space.",HPL
He wore rimless spectacles with steel bows.,HPL
"But the powers of love, poetry, and creative fancy will dwell even beside the sick of the plague, with the squalid, and with the dying.",MWS
"Many of these, of high rank in their own countries, now, with hoe in hand, turned up the soil.",MWS
"Justine, poor unhappy Justine, was as innocent as I, and she suffered the same charge; she died for it; and I am the cause of this I murdered her.",MWS
"Taking with her some jewels that belonged to her and a sum of money, she quitted Italy with an attendant, a native of Leghorn, but who understood the common language of Turkey, and departed for Germany.",MWS
He bitterly deplored the false pride which led his friend to a conduct so little worthy of the affection that united them.,MWS
"Oh, beloved father Accept the pure heart of your unhappy daughter; permit me to join you unspotted as I was or you will not recognize my altered semblance.",MWS
"That tenebrousness was indeed a positive quality; for it obscured such parts of the inner walls as ought to have been revealed, and actually burst forth like smoke from its aeon long imprisonment, visibly darkening the sun as it slunk away into the shrunken and gibbous sky on flapping membraneous wings.",HPL
"Besides, she had memories of past tenderness to cherish, smiles, words, and even tears, to con over, which, though remembered in desertion and sorrow, were to be preferred to the forgetfulness of the grave.",MWS
"Something in the night constrained the cloaked man to silence, and for a long hour he led me forward without needless words; making only the briefest of comments concerning ancient names and dates and changes, and directing my progress very largely by gestures as we squeezed through interstices, tiptoed through corridors, clambered over brick walls, and once crawled on hands and knees through a low, arched passage of stone whose immense length and tortuous twistings effaced at last every hint of geographical location I had managed to preserve.",HPL
It was then that he began that rambling tale which suddenly played upon a sleeping memory and won the fevered interest of my uncle.,HPL
"Most of the Jermyns had possessed a subtly odd and repellent cast, but Arthur's case was very striking.",HPL
Yet it is terrible to reflect that the lives of all these men are endangered through me.,MWS
Among some these changes produced a devotion and sacrifice of self at once graceful and heroic.,MWS
"Shot Elam Hutchins' collie Jack when he went to bite me, and Elam says he would kill me if he dast.",HPL
Only by chance did I go to the north window and look out upon the silent village and the plain at the edge of the bog.,HPL
"""My heart beat quick; this was the hour and moment of trial, which would decide my hopes or realize my fears.",MWS
"A large camera on a table excited my notice, and Pickman told me that he used it in taking scenes for backgrounds, so that he might paint them from photographs in the studio instead of carting his outfit around the town for this or that view.",HPL
"Besides, the grocery youth had told me that the churches, as well as the Order of Dagon Hall, were not advisable neighbourhoods for strangers.",HPL
"The work was soon finished; in a few minutes a tumultuous sea rolled between me and my enemy, and I was left drifting on a scattered piece of ice that was continually lessening and thus preparing for me a hideous death.",MWS
